"id","name","source","link","credentials","conversationId"
"0c354675-0b73-4887-8423-ab8eb3258e1f","KARO_Karooooo_Earnings-Call-Transcript_Q2-2022.txt","CORPUS","gs://trg-d-i0523dsollms-chatapp-corpus-files/Karooooo/KARO_Karooooo_Earnings-Call-Transcript_Q2-2022.txt","CLOUD_STORAGE_CREDENTIALS",""
"387d55f3-f205-49da-b369-28ee93213ec6","KARO_Karooooo_Earnings-Call-Transcript_Q3-2022.txt","CORPUS","gs://trg-d-i0523dsollms-chatapp-corpus-files/Karooooo/KARO_Karooooo_Earnings-Call-Transcript_Q3-2022.txt","CLOUD_STORAGE_CREDENTIALS",""
"2a0846c1-b5e8-4766-b676-13a8f2c8a141","KARO_Karooooo_Earnings-Call-Transcript_Q3-2023.txt","CORPUS","gs://trg-d-i0523dsollms-chatapp-corpus-files/Karooooo/KARO_Karooooo_Earnings-Call-Transcript_Q3-2023.txt","CLOUD_STORAGE_CREDENTIALS",""
"5df85b39-859a-493b-a3ae-b65e2091506e","KARO_Karooooo_Earnings-Call-Transcript_Q4-2022.txt","CORPUS","gs://trg-d-i0523dsollms-chatapp-corpus-files/Karooooo/KARO_Karooooo_Earnings-Call-Transcript_Q4-2022.txt","CLOUD_STORAGE_CREDENTIALS",""
"80c2143c-16b8-462e-a7be-8db1b681c81c","KARO_Karooooo_Earnings-Call-Transcript_Q4-2023.txt","CORPUS","gs://trg-d-i0523dsollms-chatapp-corpus-files/Karooooo/KARO_Karooooo_Earnings-Call-Transcript_Q4-2023.txt","CLOUD_STORAGE_CREDENTIALS",""
"00ed91b7-93b0-403f-8f4a-37bb3b45fdc2","NCNO_nCino_Earnings-Call-Transcript_Q2-2023.txt","CORPUS","gs://trg-d-i0523dsollms-chatapp-corpus-files/nCino/NCNO_nCino_Earnings-Call-Transcript_Q2-2023.txt","CLOUD_STORAGE_CREDENTIALS",""
"98b198f4-e017-43a9-8b6e-431f579e9334","NCNO_nCino_Earnings-Call-Transcript_Q3-2021.txt","CORPUS","gs://trg-d-i0523dsollms-chatapp-corpus-files/nCino/NCNO_nCino_Earnings-Call-Transcript_Q3-2021.txt","CLOUD_STORAGE_CREDENTIALS",""
"9bc40791-905c-428d-955a-b874dc07005d","NCNO_nCino_Earnings-Call-Transcript_Q3-2023.txt","CORPUS","gs://trg-d-i0523dsollms-chatapp-corpus-files/nCino/NCNO_nCino_Earnings-Call-Transcript_Q3-2023.txt","CLOUD_STORAGE_CREDENTIALS",""
"f7f14ab9-c64c-48be-bafe-715a7879e6e9","NCNO_nCino_Earnings-Call-Transcript_Q4-2020.txt","CORPUS","gs://trg-d-i0523dsollms-chatapp-corpus-files/nCino/NCNO_nCino_Earnings-Call-Transcript_Q4-2020.txt","CLOUD_STORAGE_CREDENTIALS",""
"5ec1b50c-1f24-42bc-b5aa-68164cee88f9","NCNO_nCino_Earnings-Call-Transcript_Q4-2022.txt","CORPUS","gs://trg-d-i0523dsollms-chatapp-corpus-files/nCino/NCNO_nCino_Earnings-Call-Transcript_Q4-2022.txt","CLOUD_STORAGE_CREDENTIALS",""
"ce0d238d-81c7-42b7-9d6f-8a03e31c2ed8","NCNO_nCino_Earnings-Call-Transcript_Q4-2023.txt","CORPUS","gs://trg-d-i0523dsollms-chatapp-corpus-files/nCino/NCNO_nCino_Earnings-Call-Transcript_Q4-2023.txt","CLOUD_STORAGE_CREDENTIALS",""
"74b94dc9-ef22-4e48-bfb3-0da6117bafd6","PGY_Pagaya_Earnings-Call-Transcript_Q1-2023.txt","CORPUS","gs://trg-d-i0523dsollms-chatapp-corpus-files/Pagaya/PGY_Pagaya_Earnings-Call-Transcript_Q1-2023.txt","CLOUD_STORAGE_CREDENTIALS",""
"ecc5456e-dd1c-4f60-ab91-c9ad1e61a579","PGY_Pagaya_Earnings-Call-Transcript_Q2-2022.txt","CORPUS","gs://trg-d-i0523dsollms-chatapp-corpus-files/Pagaya/PGY_Pagaya_Earnings-Call-Transcript_Q2-2022.txt","CLOUD_STORAGE_CREDENTIALS",""
"0719f0d0-0292-4c0f-b334-711a8644cb94","PGY_Pagaya_Earnings-Call-Transcript_Q2-2023.txt","CORPUS","gs://trg-d-i0523dsollms-chatapp-corpus-files/Pagaya/PGY_Pagaya_Earnings-Call-Transcript_Q2-2023.txt","CLOUD_STORAGE_CREDENTIALS",""
"19c463d5-0a06-4825-b645-e4c453ea91d5","PGY_Pagaya_Earnings-Call-Transcript_Q3-2022.txt","CORPUS","gs://trg-d-i0523dsollms-chatapp-corpus-files/Pagaya/PGY_Pagaya_Earnings-Call-Transcript_Q3-2022.txt","CLOUD_STORAGE_CREDENTIALS",""
"b8091d4c-c931-43f3-9b35-516642e3cefb","PGY_Pagaya_Earnings-Call-Transcript_Q4-2022.txt","CORPUS","gs://trg-d-i0523dsollms-chatapp-corpus-files/Pagaya/PGY_Pagaya_Earnings-Call-Transcript_Q4-2022.txt","CLOUD_STORAGE_CREDENTIALS",""
"90e735fb-edf1-4506-a485-bdbd9ccaa681","SAP_SAP_Earnings-Call-Transcript_Q1-2018.txt","CORPUS","gs://trg-d-i0523dsollms-chatapp-corpus-files/SAP/SAP_SAP_Earnings-Call-Transcript_Q1-2018.txt","CLOUD_STORAGE_CREDENTIALS",""
"7cdc5550-e35e-4405-9859-57ee0d71a3cb","SAP_SAP_Earnings-Call-Transcript_Q1-2019.txt","CORPUS","gs://trg-d-i0523dsollms-chatapp-corpus-files/SAP/SAP_SAP_Earnings-Call-Transcript_Q1-2019.txt","CLOUD_STORAGE_CREDENTIALS",""
"bbebc279-fa0e-4ec1-8196-bb74cccdfa0e","SAP_SAP_Earnings-Call-Transcript_Q1-2020.txt","CORPUS","gs://trg-d-i0523dsollms-chatapp-corpus-files/SAP/SAP_SAP_Earnings-Call-Transcript_Q1-2020.txt","CLOUD_STORAGE_CREDENTIALS",""
"015900df-fe5e-4216-87b0-8c96d9e88bac","SAP_SAP_Earnings-Call-Transcript_Q1-2021.txt","CORPUS","gs://trg-d-i0523dsollms-chatapp-corpus-files/SAP/SAP_SAP_Earnings-Call-Transcript_Q1-2021.txt","CLOUD_STORAGE_CREDENTIALS",""
"6a6ac737-7bf7-4251-9aa7-0be26ffbc1c9","SAP_SAP_Earnings-Call-Transcript_Q1-2022.txt","CORPUS","gs://trg-d-i0523dsollms-chatapp-corpus-files/SAP/SAP_SAP_Earnings-Call-Transcript_Q1-2022.txt","CLOUD_STORAGE_CREDENTIALS",""
"1c7039af-0b4a-4a6f-87e9-cfbd9512b4e6","SAP_SAP_Earnings-Call-Transcript_Q1-2023.txt","CORPUS","gs://trg-d-i0523dsollms-chatapp-corpus-files/SAP/SAP_SAP_Earnings-Call-Transcript_Q1-2023.txt","CLOUD_STORAGE_CREDENTIALS",""
"81fb976c-5e39-49e4-a598-1379aadf11a7","SAP_SAP_Earnings-Call-Transcript_Q2-2018.txt","CORPUS","gs://trg-d-i0523dsollms-chatapp-corpus-files/SAP/SAP_SAP_Earnings-Call-Transcript_Q2-2018.txt","CLOUD_STORAGE_CREDENTIALS",""
"9853092d-6013-400f-ba37-f1912b0fdf7f","SAP_SAP_Earnings-Call-Transcript_Q2-2019.txt","CORPUS","gs://trg-d-i0523dsollms-chatapp-corpus-files/SAP/SAP_SAP_Earnings-Call-Transcript_Q2-2019.txt","CLOUD_STORAGE_CREDENTIALS",""
"7783612e-1188-4343-bf3d-d1d7d92ca77f","SAP_SAP_Earnings-Call-Transcript_Q2-2020.txt","CORPUS","gs://trg-d-i0523dsollms-chatapp-corpus-files/SAP/SAP_SAP_Earnings-Call-Transcript_Q2-2020.txt","CLOUD_STORAGE_CREDENTIALS",""
"f2e254eb-8375-4ad6-91f3-b64b0b0041f6","SAP_SAP_Earnings-Call-Transcript_Q2-2021.txt","CORPUS","gs://trg-d-i0523dsollms-chatapp-corpus-files/SAP/SAP_SAP_Earnings-Call-Transcript_Q2-2021.txt","CLOUD_STORAGE_CREDENTIALS",""
"9720f23d-4df4-47c6-84eb-3ff42d02f8be","SAP_SAP_Earnings-Call-Transcript_Q2-2022.txt","CORPUS","gs://trg-d-i0523dsollms-chatapp-corpus-files/SAP/SAP_SAP_Earnings-Call-Transcript_Q2-2022.txt","CLOUD_STORAGE_CREDENTIALS",""
"51afa66e-6a83-4372-830c-f82060168153","SAP_SAP_Earnings-Call-Transcript_Q2-2023.txt","CORPUS","gs://trg-d-i0523dsollms-chatapp-corpus-files/SAP/SAP_SAP_Earnings-Call-Transcript_Q2-2023.txt","CLOUD_STORAGE_CREDENTIALS",""
"f9244d70-7ae5-4d52-ac12-87541328c232","SAP_SAP_Earnings-Call-Transcript_Q3-2018.txt","CORPUS","gs://trg-d-i0523dsollms-chatapp-corpus-files/SAP/SAP_SAP_Earnings-Call-Transcript_Q3-2018.txt","CLOUD_STORAGE_CREDENTIALS",""
"e298713d-1fee-4e8a-8d74-49afc6ce900a","SAP_SAP_Earnings-Call-Transcript_Q3-2019.txt","CORPUS","gs://trg-d-i0523dsollms-chatapp-corpus-files/SAP/SAP_SAP_Earnings-Call-Transcript_Q3-2019.txt","CLOUD_STORAGE_CREDENTIALS",""
"4949db95-9f09-4a64-909a-5946f47bf70a","SAP_SAP_Earnings-Call-Transcript_Q3-2020.txt","CORPUS","gs://trg-d-i0523dsollms-chatapp-corpus-files/SAP/SAP_SAP_Earnings-Call-Transcript_Q3-2020.txt","CLOUD_STORAGE_CREDENTIALS",""
"d261cf08-63f1-49bf-98df-e6289a1536ef","SAP_SAP_Earnings-Call-Transcript_Q3-2021.txt","CORPUS","gs://trg-d-i0523dsollms-chatapp-corpus-files/SAP/SAP_SAP_Earnings-Call-Transcript_Q3-2021.txt","CLOUD_STORAGE_CREDENTIALS",""
"548616d5-2d9d-4173-8e57-0f6e93f238c0","SAP_SAP_Earnings-Call-Transcript_Q3-2022.txt","CORPUS","gs://trg-d-i0523dsollms-chatapp-corpus-files/SAP/SAP_SAP_Earnings-Call-Transcript_Q3-2022.txt","CLOUD_STORAGE_CREDENTIALS",""
"5480e8e0-b107-436d-9a3d-db1f9c79c099","SAP_SAP_Earnings-Call-Transcript_Q3-2023.txt","CORPUS","gs://trg-d-i0523dsollms-chatapp-corpus-files/SAP/SAP_SAP_Earnings-Call-Transcript_Q3-2023.txt","CLOUD_STORAGE_CREDENTIALS",""
"0b4aff1d-c5ac-4241-b8b2-6203a69fe2bf","SAP_SAP_Earnings-Call-Transcript_Q4-2018.txt","CORPUS","gs://trg-d-i0523dsollms-chatapp-corpus-files/SAP/SAP_SAP_Earnings-Call-Transcript_Q4-2018.txt","CLOUD_STORAGE_CREDENTIALS",""
"301eac92-301d-4e02-903b-4b2eab57fb72","SAP_SAP_Earnings-Call-Transcript_Q4-2019.txt","CORPUS","gs://trg-d-i0523dsollms-chatapp-corpus-files/SAP/SAP_SAP_Earnings-Call-Transcript_Q4-2019.txt","CLOUD_STORAGE_CREDENTIALS",""
"7337023e-c796-4fa4-81c0-946ab493e136","SAP_SAP_Earnings-Call-Transcript_Q4-2020.txt","CORPUS","gs://trg-d-i0523dsollms-chatapp-corpus-files/SAP/SAP_SAP_Earnings-Call-Transcript_Q4-2020.txt","CLOUD_STORAGE_CREDENTIALS",""
"00d4e304-ae19-44a2-8131-b153d9739ebd","SAP_SAP_Earnings-Call-Transcript_Q4-2021.txt","CORPUS","gs://trg-d-i0523dsollms-chatapp-corpus-files/SAP/SAP_SAP_Earnings-Call-Transcript_Q4-2021.txt","CLOUD_STORAGE_CREDENTIALS",""
"0b26eae4-69be-4559-abc3-8138b651c6aa","SAP_SAP_Earnings-Call-Transcript_Q4-2022.txt","CORPUS","gs://trg-d-i0523dsollms-chatapp-corpus-files/SAP/SAP_SAP_Earnings-Call-Transcript_Q4-2022.txt","CLOUD_STORAGE_CREDENTIALS",""
"f0653d72-1858-4353-aac1-d2e799cbec51","ZG_Zillow Group_Earnings-Call-Transcript_Q1-2018.txt","CORPUS","gs://trg-d-i0523dsollms-chatapp-corpus-files/Zillow Group/ZG_Zillow Group_Earnings-Call-Transcript_Q1-2018.txt","CLOUD_STORAGE_CREDENTIALS",""
"58977ebe-d4c5-4251-b163-7c3363189a57","ZG_Zillow Group_Earnings-Call-Transcript_Q1-2020.txt","CORPUS","gs://trg-d-i0523dsollms-chatapp-corpus-files/Zillow Group/ZG_Zillow Group_Earnings-Call-Transcript_Q1-2020.txt","CLOUD_STORAGE_CREDENTIALS",""
"31141006-b1ae-4255-9d37-8bad3c41027c","ZG_Zillow Group_Earnings-Call-Transcript_Q1-2021.txt","CORPUS","gs://trg-d-i0523dsollms-chatapp-corpus-files/Zillow Group/ZG_Zillow Group_Earnings-Call-Transcript_Q1-2021.txt","CLOUD_STORAGE_CREDENTIALS",""
"921f64d5-ac4f-457f-980c-5585a78c6934","ZG_Zillow Group_Earnings-Call-Transcript_Q1-2022.txt","CORPUS","gs://trg-d-i0523dsollms-chatapp-corpus-files/Zillow Group/ZG_Zillow Group_Earnings-Call-Transcript_Q1-2022.txt","CLOUD_STORAGE_CREDENTIALS",""
"b25b5885-85e9-4ade-a9fe-f1fc916ce246","ZG_Zillow Group_Earnings-Call-Transcript_Q1-2023.txt","CORPUS","gs://trg-d-i0523dsollms-chatapp-corpus-files/Zillow Group/ZG_Zillow Group_Earnings-Call-Transcript_Q1-2023.txt","CLOUD_STORAGE_CREDENTIALS",""
"31c3435a-56ad-4ef4-97f0-fe34a2a0c136","ZG_Zillow Group_Earnings-Call-Transcript_Q2-2020.txt","CORPUS","gs://trg-d-i0523dsollms-chatapp-corpus-files/Zillow Group/ZG_Zillow Group_Earnings-Call-Transcript_Q2-2020.txt","CLOUD_STORAGE_CREDENTIALS",""
"36389f5d-bc16-4db3-b433-c51065e6a250","ZG_Zillow Group_Earnings-Call-Transcript_Q2-2021.txt","CORPUS","gs://trg-d-i0523dsollms-chatapp-corpus-files/Zillow Group/ZG_Zillow Group_Earnings-Call-Transcript_Q2-2021.txt","CLOUD_STORAGE_CREDENTIALS",""
